Student,LPIPS,SSIM
113590031.png,0.0,1.0
111590047.png,0.18195870518684387,0.7005524227783371
113590026.png,0.21757858991622925,0.7139852436379901
113370239.png,0.22219450771808624,0.6923371125910665
113590021.png,0.23529788851737976,0.6631739411883649
113590015.png,0.2545207142829895,0.6457639228184271
113590039.png,0.2552148699760437,0.6873846328902482
113590051.png,0.2561245858669281,0.6955341200257981
113590060.png,0.2596806585788727,0.6734597265559604
113590061.png,0.2669135630130768,0.6867843978283807
113590056.png,0.272291898727417,0.6933647664157919
113590001.png,0.2752839922904968,0.6324432100183898
113590044.png,0.2814429700374603,0.6559528569352975
113590003.png,0.29332414269447327,0.6401604981469523
111590028.png,0.29737231135368347,0.7070594056454068
111590062.png,0.2988423705101013,0.6422251516971639
113590010.png,0.29959872364997864,0.6113055747228284
113590022.png,0.3005155324935913,0.6797381127821667
113590052.png,0.30089980363845825,0.641243460563091
110590455.png,0.30206921696662903,0.6889243181153984
112590454.png,0.3067077696323395,0.6390150518956164
113590047.png,0.3076293468475342,0.7097916369800098
114054809.png,0.3260115087032318,0.6489183148503317
113590004.png,0.3290952742099762,0.7028566753930466
113AC1012.png,0.33912673592567444,0.6813668247528367
113590011.png,0.34113267064094543,0.6237141226142427
113590062.png,0.34470197558403015,0.5978189154153102
113590043.png,0.3457041084766388,0.7285734718865081
113590045.png,0.3459946811199188,0.5930657804528572
113590025.png,0.34683340787887573,0.724105756286352
112590040.png,0.34918203949928284,0.6125872053174259
113590057.png,0.3499771058559418,0.6268271027954967
112590455.png,0.3560471534729004,0.6253964646863671
113590059.png,0.35822954773902893,0.6011187268336572
113590002.png,0.363224059343338,0.6073818372987431
111590042.png,0.3652478754520416,0.7362649630500102
113590006.png,0.3665090501308441,0.5574313323352728
113590018.png,0.38951992988586426,0.6023390310475304
113590028.png,0.3938559889793396,0.593104182101957
113590050.png,0.40188416838645935,0.535075837218484
113590042.png,0.4166235327720642,0.5799215292654454
113590023.png,0.41805678606033325,0.5161119796680763
113590049.png,0.4356154501438141,0.5179400771980535
111590455.png,0.46682077646255493,0.5444798885451617
113590008.png,0.5072644352912903,0.4767873470548039
